,EDA_Raw,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0,0.399369,0.399316370843141,5.262835444581329e-05,0,0,0,0,0,0,1
1,0.399369,0.39928915099771894,7.984850535121165e-05,0,0,0,0,0,0,1
2,0.399369,0.3992603572770129,0.00010864257067115426,0,0,0,0,0,0,0
3,0.399369,0.39923009235877377,0.000138907875002216,0,0,0,0,0,0,0
4,0.396811,0.39919845699538054,-0.0023874563316821687,1,0,0,0,0,0,0
5,0.39809,0.39916552983050047,-0.0010755286907067085,0,0,0,0,0,0,0
6,0.39809,0.39913134422051216,-0.001041342556133466,0,0,0,0,0,0,0
7,0.399369,0.3990958864414277,0.00027311579829743845,0,1,0,0,0,0,0
8,0.39809,0.39905911223216406,-0.0009691093641231091,1,0,0,0,0,0,0
9,0.399369,0.39902096033899154,0.00034804321245572193,0,0,0,0,0,0,0
10,0.399369,0.39898136001467643,0.0003876442772786774,0,0,0,0,0,0,0
11,0.399369,0.39894024161824587,0.0004287634731927354,0,0,0,0,0,0,0
12,0.399369,0.39889754726995835,0.00047145868164904977,0,0,0,0,0,0,0
13,0.399369,0.3988532354681091,0.0005157714058669392,0,0,0,0,0,0,0
14,0.399369,0.39880728271770005,0.0005617251421305989,0,1,0,0,1,0,0
15,0.39809,0.39875968217252716,-0.0006696732623329742,1,0,0,0,0,0,0
16,0.400648,0.3987104392916056,0.00193757073418292,0,1,0,0,0,0,0
17,0.39809,0.39865957365401167,-0.0005695624470169613,1,0,0,0,0,0,0
18,0.399369,0.3986071238839873,0.0007618885698227785,0,0,0,0,0,0,0
19,0.400648,0.39855314958964355,0.00209486417616023,0,1,0,0,0,0,0
20,0.39809,0.39849773945748773,-0.000407724315419178,1,0,0,0,0,0,0
21,0.399369,0.39844101635661294,0.0009280002245582477,0,1,0,0,0,0,0
22,0.39809,0.39838312725742464,-0.0002931091763247074,1,0,0,0,0,0,0
23,0.400648,0.39832423624788166,0.0023237833913279373,0,1,0,0,0,0,0
24,0.399369,0.3982645358813372,0.00110448537082718,0,0,0,0,0,0,0
25,0.39809,0.39820426160995087,-0.00011423869407205353,0,0,0,0,0,0,0
26,0.395531,0.39814367881455565,-0.0026126541890997192,1,0,0,0,0,0,0
27,0.39809,0.3980830424198664,6.983955258031054e-06,0,1,0,0,0,0,0
28,0.391694,0.3980225565216517,-0.00632852836347872,1,0,0,0,0,0,0
29,0.39809,0.39796234011750736,0.00012768984937697232,0,0,0,0,0,0,0
30,0.39809,0.3979024172215724,0.00018761457089445547,0,0,0,0,0,0,0
31,0.39809,0.39784275574213046,0.00024727788285556883,0,0,0,0,0,0,0
32,0.39809,0.3977833154928251,0.00030671996046993286,0,0,0,0,0,0,0
33,0.39809,0.39772406571017993,0.00036597155478506244,0,0,0,0,0,0,0
34,0.399369,0.3976649903684751,0.0017040486777404355,0,1,0,0,1,0,0
35,0.39809,0.3976060995829032,0.0004839411989429116,1,0,0,0,0,0,0
36,0.399369,0.3975474410055765,0.001821601449591603,0,1,0,0,0,0,0
37,0.389135,0.3974890837778108,-0.008354039729871443,1,0,0,0,0,0,0
38,0.399369,0.39743105674494145,0.0019379887953586278,0,0,0,0,0,0,0
39,0.399369,0.3973733110484758,0.001995735862237725,0,1,0,0,0,0,0
40,0.396811,0.3973157680677236,-0.0005047199318151934,1,0,0,0,0,0,0
41,0.39809,0.39725837345185766,0.0008316757389699752,0,0,0,0,0,0,0
42,0.39809,0.39720109931975406,0.0008889507288281837,0,0,0,0,0,0,0
43,0.39809,0.39714394035308165,0.0009461103273297574,0,0,0,0,0,0,0
44,0.39809,0.3970869220760136,0.0010031289796365683,0,0,0,0,0,0,0
45,0.399369,0.3970301091299599,0.0023389420117462213,0,1,0,0,1,0,0
46,0.395531,0.3969736104918953,-0.0014425595878494798,1,0,0,0,0,0,0
47,0.39809,0.3969175694396893,0.0011724808665024315,0,1,0,0,0,0,0
48,0.394252,0.39686213826524047,-0.002610088955507961,1,0,0,0,0,0,0
49,0.396811,0.3968074529747576,3.594899588568303e-06,0,1,0,0,0,0,0
50,0.394252,0.39675361406430415,-0.0025015681064650625,1,0,0,0,0,0,0
51,0.399369,0.39670068250713697,0.002668361009064293,0,1,0,0,0,0,0
52,0.390415,0.39664868790117375,-0.00623364739749311,1,0,0,0,0,0,0
53,0.39809,0.3965976182949933,0.001492418577883145,0,0,0,0,0,0,0
54,0.39809,0.3965474099812862,0.001542622593569648,0,0,0,0,0,0,0
55,0.39809,0.3964979860273733,0.0015920415319192326,0,0,0,0,0,0,0
56,0.39809,0.39644931001269434,0.0016407117619374341,0,1,0,0,1,0,0
57,0.396811,0.3964014031559133,0.00040961201236961435,1,0,0,0,0,0,0
58,0.39809,0.3963543370267314,0.0017356706601091205,0,1,0,0,0,0,0
59,0.392973,0.396308217081296,-0.003335217804958297,1,0,0,0,0,0,0
60,0.39809,0.396263153968495,0.0018268359140369097,0,1,0,0,0,0,0
61,0.394252,0.3962192408958991,-0.001967261444671903,1,0,0,0,0,0,0
62,0.39809,0.3961765553437988,0.0019134125848343088,0,1,0,0,0,0,0
63,0.395531,0.39613517292972095,-0.0006042176679574391,1,0,0,0,0,0,0
64,0.396811,0.39609517817826545,0.0007157632206113435,0,1,0,0,0,0,0
65,0.390415,0.3960566539057049,-0.005641727615744848,1,0,0,0,0,0,0
66,0.395531,0.3960196370222967,-0.0004887271350382714,0,0,0,0,0,0,0
67,0.39809,0.3959840895165782,0.00210580262927414,0,1,0,0,0,0,0
68,0.395531,0.3959499333945228,-0.00041906037023932186,0,0,0,0,0,0,0
69,0.395531,0.39591709775746226,-0.0003862452722301684,0,0,0,0,0,0,0
70,0.392973,0.39588551400517746,-0.002912683508930266,1,0,0,0,0,0,0
71,0.395531,0.39585508050709817,-0.0003242734765684528,0,0,0,0,0,0,0
72,0.395531,0.39582564551863525,-0.0002948634508632748,0,0,0,0,0,0,0
73,0.395531,0.39579702053610877,-0.0002662649410565393,0,1,0,0,0,0,0
74,0.392973,0.39576899361430506,-0.002796266006517996,1,0,0,0,0,0,0
75,0.396811,0.3957413213205988,0.0010693767901420084,0,1,0,0,0,0,0
76,0.394252,0.39571372371954955,-0.001462056600457123,1,0,0,0,0,0,0
77,0.39809,0.3956859006800533,0.0024037339795069316,0,1,0,0,0,0,0
78,0.396811,0.3956575603692943,0.0011530404022883783,1,0,0,0,0,0,0
79,0.39809,0.3956284508054288,0.002461114703126659,0,1,0,0,0,0,0
80,0.396811,0.3955983822854975,0.001212146653625,0,0,0,0,0,0,0
81,0.395531,0.3955672284989512,-3.673735043207574e-05,1,0,0,0,0,0,0
82,0.396811,0.3955349093819139,0.0012755428580511242,0,1,0,0,0,0,0
83,0.391694,0.39550136486820886,-0.0038079525321061255,1,0,0,0,0,0,0
84,0.396811,0.39546652259337955,0.0013438489871001632,0,0,0,0,0,0,0
85,0.396811,0.3954302839379026,0.0013800462011633401,0,0,0,0,0,0,0
86,0.396811,0.3953925527959107,0.0014177354058950188,0,1,0,0,0,0,0
87,0.395531,0.39535327049054986,0.00017697549364358397,1,0,0,0,0,0,0
88,0.395531,0.3953124172065876,0.00021778652228119413,0,0,0,0,0,0,0
89,0.396811,0.3952699982371005,0.0015401634701212449,0,0,0,0,0,0,0
